frame_number,capture_ts_ms,decode_ts_ms
245,1438515.777,10403.502
246,1438532.525,10420.461
247,1438549.204,10435.957
248,1438565.825,10453.134
249,1438582.548,10470.152
250,1438599.317,10486.453
251,1438616.232,10504.129
252,1438632.564,10520.344
253,1438649.360,10536.206
254,1438665.957,10553.300
255,1438682.678,10570.176
256,1438699.309,10586.618
257,1438716.365,10603.837
258,1438732.723,10622.709
259,1438749.392,10636.192
260,1438766.054,10653.139
261,1438782.765,10670.367
262,1438799.437,10686.738
263,1438816.090,10703.602
264,1438832.809,10719.674
265,1438849.483,10736.411
266,1438866.335,10753.392
267,1438882.877,10769.450
268,1438899.854,10786.777
269,1438916.186,10803.068
270,1438932.930,10819.891
271,1438949.555,10836.819
272,1438966.556,10852.647
273,1438982.964,10869.751
274,1438999.603,10886.571
275,1439016.329,10903.347
276,1439033.203,10920.504
277,1439049.837,10935.822
278,1439066.391,10952.739
279,1439083.086,10969.794
280,1439099.712,10986.325
281,1439116.481,11003.453
282,1439133.107,11020.396
283,1439150.136,11036.490
284,1439166.652,11052.980
285,1439183.224,11069.913
286,1439199.828,11086.429
287,1439216.834,11103.407
288,1439233.186,11120.468
289,1439249.907,11135.880
290,1439266.617,11152.938
291,1439283.359,11169.853
292,1439299.936,11186.345
293,1439318.474,11204.601
294,1439333.772,11219.229
295,1439350.350,11236.620
296,1439366.995,11253.489
297,1439383.665,11271.993
298,1439400.355,11288.676
299,1439417.138,11306.192
300,1439433.727,11321.964
301,1439450.319,11338.905
302,1439467.035,11355.966
303,1439483.753,11371.772
304,1439500.382,11388.684
305,1439516.986,11405.788
306,1439533.833,11422.706
307,1439550.500,11439.495
308,1439567.096,11455.584
309,1439583.637,11472.581
310,1439600.216,11489.274
311,1439616.969,11506.956
312,1439633.606,11522.165
313,1439650.340,11538.652
314,1439667.111,11555.922
315,1439684.045,11572.790
316,1439700.448,11589.240
317,1439717.141,11605.322
318,1439734.126,11622.021
319,1439750.454,11642.189
320,1439767.096,11655.849
321,1439783.901,11673.002
322,1439800.493,11689.197
323,1439817.161,11705.472
324,1439833.845,11722.588
325,1439850.485,11739.395
326,1439867.350,11755.304
327,1439883.936,11772.391
328,1439900.607,11789.058
329,1439917.249,11805.897
330,1439933.905,11822.159
331,1439950.914,11838.855
332,1439967.317,11855.619
333,1439984.183,11872.338
334,1440000.663,11889.367
335,1440017.311,11905.070
336,1440034.045,11922.295
337,1440050.711,11939.295
338,1440067.362,11955.102
339,1440084.099,11972.318
340,1440100.721,11989.339
341,1440117.449,12005.855
342,1440134.091,12023.004
343,1440150.820,12039.871
344,1440167.928,12056.224
345,1440184.272,12073.290
346,1440200.842,12089.670
347,1440217.820,12106.837
348,1440234.411,12122.536
349,1440250.931,12139.638
350,1440267.621,12156.616
351,1440284.298,12172.669
352,1440300.934,12189.575
353,1440317.660,12206.576
354,1440334.335,12222.521
355,1440350.979,12239.394
356,1440367.885,12256.423
357,1440384.453,12272.523
358,1440401.099,12292.157
359,1440417.728,12306.379
360,1440434.449,12323.331
361,1440451.133,12339.356
362,1440467.832,12356.103
363,1440484.782,12373.211
364,1440501.344,12390.687
365,1440517.867,12406.294
366,1440534.492,12423.349
367,1440551.209,12440.363
368,1440567.865,12457.131
369,1440584.582,12472.741
370,1440601.248,12489.310
371,1440617.955,12507.321
372,1440634.596,12523.522
373,1440651.322,12540.185
374,1440668.091,12557.064
375,1440684.717,12572.688
376,1440701.586,12590.613
377,1440718.112,12606.321
378,1440735.014,12623.553
379,1440751.386,12639.672
380,1440768.263,12657.019
381,1440784.808,12672.877
382,1440801.471,12689.526
383,1440818.120,12706.452
384,1440834.831,12723.610
385,1440851.483,12739.197
386,1440868.199,12756.401
387,1440884.851,12773.500
388,1440901.575,12790.364
389,1440918.258,12806.306
390,1440934.946,12823.289
391,1440951.586,12840.291
392,1440968.793,12857.662
393,1440985.085,12873.546
394,1441001.693,12890.446
395,1441018.571,12907.564
396,1441035.082,12923.316
397,1441051.719,12940.377
398,1441068.363,12956.302
399,1441085.094,12973.394
400,1441101.736,12990.940
401,1441118.459,13006.546
402,1441135.099,13023.648
403,1441151.835,13040.687
404,1441168.771,13057.757
405,1441185.306,13073.576
406,1441201.884,13090.721
407,1441218.851,13107.848
408,1441235.297,13123.472
409,1441251.952,13140.547
410,1441268.854,13157.651
411,1441285.593,13174.801
412,1441301.998,13190.522
413,1441318.622,13207.546
414,1441335.339,13223.395
415,1441352.000,13240.424
416,1441368.707,13257.568
417,1441385.365,13274.444
418,1441402.124,13290.307
419,1441418.754,13307.637
420,1441435.595,13324.702
421,1441452.153,13340.352
422,1441469.120,13357.447
423,1441485.477,13374.537
424,1441502.192,13391.529
425,1441518.880,13407.659
426,1441535.551,13424.688
427,1441552.460,13441.418
428,1441568.926,13457.078
429,1441585.618,13474.485
430,1441602.237,13491.490
431,1441618.963,13507.763
432,1441635.611,13524.543
433,1441652.324,13541.204
434,1441669.063,13558.201
435,1441685.741,13574.115
436,1441702.361,13591.133
437,1441719.385,13607.639
438,1441735.763,13624.608
439,1441752.437,13640.358
440,1441769.127,13657.987
441,1441785.771,13674.054
442,1441802.508,13691.046
443,1441819.410,13707.367
444,1441835.873,13724.510
445,1441852.529,13741.490
446,1441869.183,13757.397
447,1441885.917,13774.586
448,1441902.790,13791.555
449,1441919.246,13807.168
450,1441935.959,13824.313
451,1441952.597,13841.425
452,1441969.645,13858.387
453,1441986.126,13874.432
454,1442002.751,13891.347
455,1442019.336,13908.319
456,1442036.091,13924.355
457,1442052.769,13941.552
458,1442069.440,13958.020
459,1442086.391,13975.113
460,1442102.755,13991.481
461,1442119.515,14008.033
462,1442136.159,14025.238
463,1442152.802,14041.896
464,1442169.532,14058.579
